region,stock,plotOrder,id,id_MSSR
36,Lower Mainstem,1,1,1
38,White-Donjek,2,2,2
34,Pelly,3,3,3
35,Stewart,4,4,4
32,Carmacks,5,5,5
31,Teslin,6,6,6
33,Middle Mainstem,7,7,7
30,Upper Lakes and Mainstem,8,8,8
