stock,year,mean,sd,lwr95CI,upr95CI,cv,obs
Pelly,2018,10245,1485,5125,10745,0.14494875549048317,1
Pelly,2019,5173,181,4835,5508,0.03498936787164121,1
White-Donjek,1985,2679,858,1506,3834,0.3202687569988802,1
White-Donjek,1986,4004,1151,2460,5561,0.28746253746253747,1
White-Donjek,1987,3097,854,1906,4303,0.27575072650952537,1
White-Donjek,1988,3086,1160,1213,4231,0.3758911211924822,1
White-Donjek,1989,2307,3945,551,12794,1.7100130039011703,1
White-Donjek,1990,6169,1236,4308,8051,0.20035662181877129,1
White-Donjek,1991,4908,965,3584,6195,0.19661776691116545,1
White-Donjek,1992,3075,865,1898,4276,0.2813008130081301,1
White-Donjek,1993,6594,1092,5093,8096,0.16560509554140126,1
White-Donjek,1994,5493,1143,3820,7163,0.2080830147460404,1
White-Donjek,1995,3495,3174,1839,10930,0.9081545064377683,1
White-Donjek,1996,9208,1393,7041,11448,0.15128149435273675,1
White-Donjek,1997,3660,764,2473,4839,0.2087431693989071,1
White-Donjek,1998,6033,818,4613,7424,0.13558760152494612,1
White-Donjek,1999,2977,711,1907,4041,0.23883103795767552,1
White-Donjek,2000,4614,829,3214,6007,0.17967056783701776,1
White-Donjek,2001,4330,1092,2550,6235,0.25219399538106235,1
White-Donjek,2002,1995,633,965,3051,0.3172932330827068,1
White-Donjek,2003,8269,1108,6285,10254,0.13399443705405734,1
White-Donjek,2004,3630,2116,1843,8747,0.5829201101928375,1
White-Donjek,2005,7332,1358,5047,9723,0.18521549372613202,1
White-Donjek,2006,6967,2477,1834,10527,0.3555332280752117,1
White-Donjek,2007,6005,260,5588,6502,0.04329725228975854,1
White-Donjek,2008,1688,310,1131,2257,0.18364928909952608,1
White-Donjek,2009,5725,2789,3895,14363,0.48716157205240174,1
White-Donjek,2010,4304,834,2761,5861,0.1937732342007435,1
White-Donjek,2011,2263,2239,801,8950,0.9893946089262041,1
White-Donjek,2012,1988,1051,804,4765,0.528672032193159,1
White-Donjek,2013,5026,1642,192,6350,0.32670115399920413,1
White-Donjek,2014,7590,1931,935,8647,0.2544137022397892,1
White-Donjek,2015,6607,755,5115,8099,0.11427274103223853,1
White-Donjek,2016,14203,2431,9436,18782,0.17116102231922833,1
White-Donjek,2017,10336,503,9142,11051,0.04866486068111455,1
White-Donjek,2018,2492,630,1397,3783,0.25280898876404495,1
White-Donjek,2019,2806,615,1649,3938,0.21917320028510334,1
MidMain,1985,8129,1100,6632,9618,0.13531799729364005,1
MidMain,1986,12815,1378,10997,14709,0.107530238002341,1
MidMain,1987,7567,1171,5910,9196,0.15475089203118805,1
MidMain,1988,5017,844,3936,6131,0.1682280247159657,1
MidMain,1989,679,372,138,1293,0.5478645066273933,1
MidMain,1990,1378,1308,78,4039,0.9492017416545718,1
MidMain,1991,10161,1561,8034,12258,0.1536266115539809,1
MidMain,1992,10848,1830,8346,13378,0.16869469026548672,1
MidMain,1993,7626,1075,6137,9094,0.14096511932861264,1
MidMain,1994,7166,1153,5491,8862,0.16089868825006978,1
MidMain,1995,23208,2381,19844,26665,0.1025939331265081,1
MidMain,1996,14428,1468,12063,16709,0.1017466038258941,1
MidMain,1997,23691,2425,19923,27430,0.10235954581908742,1
MidMain,1998,1604,301,1091,2124,0.18765586034912718,1
MidMain,1999,4868,813,3641,6082,0.1670090386195563,1
MidMain,2000,9941,998,8264,11627,0.10039231465647319,1
MidMain,2001,37316,11878,24728,64792,0.31830850037517416,1
MidMain,2002,24970,2109,21427,28375,0.08446135362434921,1
MidMain,2003,10799,1243,8537,12985,0.1151032503009538,1
MidMain,2004,14311,1427,11940,16596,0.09971350709244638,1
MidMain,2005,14122,211,13764,14491,0.01494122645517632,1
MidMain,2006,6674,158,6396,6950,0.023673958645489962,1
MidMain,2007,3537,477,2108,3786,0.13486005089058525,1
MidMain,2008,7080,158,6790,7363,0.02231638418079096,1
MidMain,2009,5500,139,5238,5761,0.025272727272727273,1
MidMain,2010,7820,207,7434,8203,0.026470588235294117,1
MidMain,2011,9512,741,9159,11855,0.07790159798149705,1
MidMain,2012,6617,299,5853,6980,0.04518664047151277,1
MidMain,2013,7177,1832,630,7501,0.25525985787933675,1
MidMain,2014,17328,862,14722,18165,0.0497460757156048,1
MidMain,2015,18246,247,17754,18731,0.013537213635865394,1
MidMain,2016,4665,94,4484,4845,0.02015005359056806,1
MidMain,2017,7553,352,7207,8544,0.046603998411227324,1
MidMain,2018,11252,198,10875,11623,0.017596871667259154,1
MidMain,2019,9267,201,8898,9646,0.021689867270961477,1
Carmacks,1985,4165,958,2877,5479,0.23001200480192077,1
Carmacks,1986,5935,1359,4101,7763,0.22898062342038752,1
Carmacks,1987,3934,855,2720,5120,0.21733604473817997,1
Carmacks,1988,6301,1197,4774,7889,0.18996984605618156,1
Carmacks,1989,3697,932,2165,5057,0.2520962942926697,1
Carmacks,1990,2789,1193,768,4382,0.4277518823951237,1
Carmacks,1991,3745,908,2507,4963,0.242456608811749,1
Carmacks,1992,9425,2390,6143,12715,0.2535809018567639,1
Carmacks,1993,4220,898,2993,5462,0.2127962085308057,1
