count_type,month,day,count,year,julian
fishWheel,8,15,3,1986,227
fishWheel,8,16,1,1986,228
fishWheel,8,17,1,1986,229
fishWheel,8,18,4,1986,230
fishWheel,8,19,3,1986,231
fishWheel,8,20,1,1986,232
fishWheel,8,21,1,1986,233
fishWheel,8,22,1,1986,234
fishWheel,8,23,1,1986,235
fishWheel,8,24,0,1986,236
fishWheel,8,25,1,1986,237
fishWheel,8,26,0,1986,238
fishWheel,8,27,2,1986,239
fishWheel,8,28,0,1986,240
fishWheel,8,29,0,1986,241
fishWheel,8,30,0,1986,242
fishWheel,8,31,0,1986,243
fishWheel,9,1,1,1986,244
fishWheel,9,2,0,1986,245
fishWheel,9,3,0,1986,246
fishWheel,9,4,1,1986,247
fishWheel,9,5,0,1986,248
fishWheel,9,6,0,1986,249
fishWheel,9,7,0,1986,250
fishWheel,9,8,0,1986,251
fishWheel,9,9,0,1986,252
fishWheel,9,10,0,1986,253
fishWheel,9,11,0,1986,254
fishWheel,9,12,0,1986,255
fishWheel,9,13,0,1986,256
fishWheel,9,14,1,1986,257
fishWheel,9,15,0,1986,258
fishWheel,9,16,0,1986,259
fishWheel,9,17,0,1986,260
fishWheel,9,18,0,1986,261
fishWheel,9,19,0,1986,262
fishWheel,9,20,0,1986,263
fishWheel,9,21,0,1986,264
fishWheel,9,22,0,1986,265
fishWheel,9,23,0,1986,266
fishWheel,9,24,0,1986,267
fishWheel,9,25,0,1986,268
fishWheel,9,26,0,1986,269
fishWheel,9,27,NA,1986,270
fishWheel,9,28,NA,1986,271
fishWheel,9,29,NA,1986,272
fishWheel,9,30,NA,1986,273
fishWheel,10,1,NA,1986,274
fishWheel,10,2,NA,1986,275
fishWheel,10,3,NA,1986,276
fishWheel,10,4,NA,1986,277
fishWheel,10,5,NA,1986,278
fishWheel,10,6,NA,1986,279
fishWheel,10,7,NA,1986,280
fishWheel,10,8,NA,1986,281
fishWheel,10,9,NA,1986,282
fishWheel,10,10,NA,1986,283
fishWheel,6,23,0,1987,174
fishWheel,6,24,0,1987,175
fishWheel,6,25,0,1987,176
fishWheel,6,26,0,1987,177
fishWheel,6,27,0,1987,178
fishWheel,6,28,0,1987,179
fishWheel,6,29,2,1987,180
fishWheel,6,30,0,1987,181
fishWheel,7,1,0,1987,182
fishWheel,7,2,1,1987,183
fishWheel,7,3,0,1987,184
fishWheel,7,4,0,1987,185
fishWheel,7,5,0,1987,186
fishWheel,7,6,2,1987,187
fishWheel,7,7,1,1987,188
fishWheel,7,8,1,1987,189
fishWheel,7,9,1,1987,190
fishWheel,7,10,1,1987,191
fishWheel,7,11,15,1987,192
fishWheel,7,12,45,1987,193
fishWheel,7,13,57,1987,194
fishWheel,7,14,42,1987,195
fishWheel,7,15,56,1987,196
fishWheel,7,16,58,1987,197
fishWheel,7,17,36,1987,198
fishWheel,7,18,50,1987,199
fishWheel,7,19,36,1987,200
fishWheel,7,20,16,1987,201
fishWheel,7,21,11,1987,202
fishWheel,7,22,22,1987,203
fishWheel,7,23,36,1987,204
fishWheel,7,24,26,1987,205
fishWheel,7,25,30,1987,206
fishWheel,7,26,36,1987,207
fishWheel,7,27,25,1987,208
fishWheel,7,28,23,1987,209
fishWheel,7,29,24,1987,210
fishWheel,7,30,26,1987,211
fishWheel,7,31,30,1987,212
fishWheel,8,1,74,1987,213
fishWheel,8,2,35,1987,214
fishWheel,8,3,32,1987,215
fishWheel,8,4,18,1987,216
fishWheel,8,5,4,1987,217
fishWheel,8,6,8,1987,218
fishWheel,8,7,8,1987,219
fishWheel,8,8,7,1987,220
fishWheel,8,9,9,1987,221
fishWheel,8,10,4,1987,222
fishWheel,8,11,4,1987,223
fishWheel,8,12,3,1987,224
fishWheel,8,13,3,1987,225
fishWheel,8,14,1,1987,226
fishWheel,8,15,1,1987,227
fishWheel,8,16,1,1987,228
fishWheel,8,17,2,1987,229
fishWheel,8,18,0,1987,230
fishWheel,8,19,2,1987,231
fishWheel,8,20,1,1987,232
fishWheel,8,21,0,1987,233
fishWheel,8,22,0,1987,234
fishWheel,8,23,1,1987,235
fishWheel,8,24,0,1987,236
fishWheel,8,25,0,1987,237
fishWheel,8,26,0,1987,238
fishWheel,8,27,1,1987,239
fishWheel,8,28,1,1987,240
fishWheel,8,29,1,1987,241
fishWheel,8,30,0,1987,242
fishWheel,8,31,1,1987,243
fishWheel,9,1,0,1987,244
fishWheel,9,2,0,1987,245
fishWheel,9,3,1,1987,246
fishWheel,9,4,0,1987,247
fishWheel,9,5,0,1987,248
fishWheel,9,6,0,1987,249
fishWheel,9,7,0,1987,250
fishWheel,9,8,1,1987,251
fishWheel,9,9,1,1987,252
fishWheel,9,10,1,1987,253
fishWheel,9,11,1,1987,254
fishWheel,9,12,0,1987,255
fishWheel,9,13,0,1987,256
fishWheel,9,14,0,1987,257
fishWheel,9,15,0,1987,258
fishWheel,9,16,0,1987,259
fishWheel,9,17,0,1987,260
fishWheel,9,18,0,1987,261
fishWheel,9,19,0,1987,262
fishWheel,9,20,0,1987,263
fishWheel,9,21,0,1987,264
fishWheel,9,22,1,1987,265
fishWheel,9,23,0,1987,266
fishWheel,9,24,0,1987,267
fishWheel,9,25,0,1987,268
fishWheel,9,26,1,1987,269
fishWheel,9,27,0,1987,270
fishWheel,9,28,0,1987,271
fishWheel,9,29,0,1987,272
fishWheel,9,30,0,1987,273
fishWheel,10,1,0,1987,274
fishWheel,10,2,0,1987,275
fishWheel,10,3,0,1987,276
fishWheel,10,4,0,1987,277
fishWheel,10,5,0,1987,278
fishWheel,10,6,0,1987,279
fishWheel,10,7,0,1987,280
fishWheel,10,8,0,1987,281
fishWheel,10,9,0,1987,282
fishWheel,10,10,0,1987,283
fishWheel,6,23,1,1988,175
fishWheel,6,24,0,1988,176
fishWheel,6,25,2,1988,177
fishWheel,6,26,1,1988,178
fishWheel,6,27,2,1988,179
fishWheel,6,28,2,1988,180
fishWheel,6,29,3,1988,181
fishWheel,6,30,1,1988,182
fishWheel,7,1,7,1988,183
fishWheel,7,2,7,1988,184
fishWheel,7,3,13,1988,185
fishWheel,7,4,2,1988,186
fishWheel,7,5,10,1988,187
fishWheel,7,6,4,1988,188
fishWheel,7,7,7,1988,189
